Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
10804715041,"21 Feb 2024, 01:17:32",Nike Run Club: 30 Minute Head Starts,Run,,1800,3.39,,,false,,,activities/11551271854.fit.gz,,,1800.0,1781.0,3396.3,3.648,1.907,28.0,28.0,148.6,157.0,20.0,-0.1,,,184.0,67.0,,,,,222.0,,,,,,,,,,,,,,,,0.0,,1.0,3643.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.887,0.0,,,,3986.0,,,,,,,,,,,,,""
10817747904,"23 Feb 2024, 01:18:06",Nike Run Club: Sneaky Speed,Run,,1855,0.06,,,false,,,activities/11564653341.fit.gz,,,1855.0,974.0,64.9,2.988,0.067,10.0,10.0,179.2,181.0,9.4,0.0,,,82.0,67.0,,,,,7.0,,,,,,,,,,,,,,,,0.0,,1.0,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.035,0.0,,,,78.0,,,,,,,,,,,,,""
10823773204,"24 Feb 2024, 02:01:25",Night Run,Run,,1885,2.68,,,false,,,activities/10823773204.gpx,,,1885.0,1851.0,2681.4,10.192,1.449,0.0,0.1,178.7,179.8,5.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2691.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.422,0.0,,,,16.0,,,,,,,,,,,,,""
10829706530,"24 Feb 2024, 21:11:50",Nike Run Club: Another 10K Run,Run,,320,0.23,,,false,,,activities/11576991484.fit.gz,,,320.0,320.0,237.9,2.196,0.744,0.0,0.0,0.0,0.0,0.0,0.0,,,105.0,31.0,,,,,17.0,,,,,,,,,,,,,,,,0.0,,1.0,237.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.744,0.0,,,,300.0,,,,,,,,,,,,,""
10837129218,"25 Feb 2024, 20:23:26",Afternoon Run,Run,,1778,4.68,,,false,,,activities/10837129218.gpx,,,1778.0,1683.0,4688.6,6.464,2.786,14.5,14.4,76.6,82.8,9.3,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,30.0,0.0,,1.0,4707.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.637,8.8,,,,4466.0,,,,,,,,,,,,,""
10837135243,"25 Feb 2024, 20:23:44",Afternoon Run,Run,,1751,4.53,,,false,,,activities/11584776545.gpx.gz,,,1751.0,1653.0,4534.3,5.277,2.743,14.5,14.7,76.6,82.8,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4552.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.59,7.7,,,,,,,,,,,,,,,,,""
10851783500,"28 Feb 2024, 01:07:23","Nike Run Club: Run With
 Shalane",Run,,2700,0.18,,,false,,,activities/11599847999.fit.gz,,,2700.0,2700.0,183.4,2.21,0.068,0.0,0.0,0.0,0.0,0.0,0.0,,,117.0,69.0,,,,,52.0,,,,,,,,,,,,,,,,0.0,,1.0,183.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.068,0.0,,,,230.0,,,,,,,,,,,,,""
10865108496,"1 Mar 2024, 01:37:00",Evening Run,Run,,965,1.23,,,false,,,activities/10865108496.gpx,,,965.0,487.0,1238.8,8.962,2.544,0.0,0.0,179.3,180.5,17.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1247.9,1709254784.0,1.0,-5.2,-9.3,-12.0,0.59,1030.2,2.5,6.5,261.0,0.0,1709207808.0,1709248000.0,0.625,,,0.0,1.0,0.05,32927.0,0.0,,,,,0.0,1.284,0.0,,,,258.0,,,,,,,,,,,,,""
10870918797,"2 Mar 2024, 01:04:30",Evening Run,Run,,2187,4.84,,,false,,,activities/10870918797.gpx,,,2187.0,2086.0,4843.0,8.628,2.322,37.3,35.3,150.0,156.7,4.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4891.6,1709341184.0,3.0,3.5,1.4,-0.4,0.76,1024.7,2.3,4.6,99.0,0.0,1709294080.0,1709334528.0,0.625,,,0.0,1.0,0.85,27627.0,0.0,,,,,0.0,2.214,0.0,,,,4514.0,,,,,,,,,,,,,""
10870944488,"2 Mar 2024, 01:04:06",Evening Run,Run,,2199,4.67,173.0,45,false,,,activities/11619581990.tcx.gz,,,2199.0,2013.0,4676.0,5.196,2.323,36.8,35.1,150.0,156.7,6.4,0.0,,,,,,151.0,,,367.0,,,45.0,,,,,,,,,,,,,0.0,,1.0,4726.4,1709341184.0,3.0,3.5,1.4,-0.4,0.76,1024.7,2.3,4.6,99.0,0.0,1709294080.0,1709334528.0,0.625,,,0.0,1.0,0.85,27627.0,0.0,,,,,0.0,2.126,0.0,,,,,,,,,,,,,,,,,""
